14/01/2019,Ponto Facultativo,FACULTATIVO,,,
14/01/2019,Véspera de feriado,FACULTATIVO,Véspera do aniversário da cidade (Ponto Facultativo a Compensar),,
28/02/2019,Ponto Facultativo - Memória de Zé Paraná,FACULTATIVO,"Ponto facultativo instituído em memória ao falecimento do Comendador José Pedro Dias, popularmente conhecido como Zé Paraná, colonizador e fundador do município de Juara, conforme previsto na Lei Municipal nº 1.543/2004.",MT,5105101
04/03/2019,Carnaval,FACULTATIVO,"Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
04/03/2019,Facultativo,FACULTATIVO,ponto facultativo do Carnaval,,
04/03/2019,Segunda de Carnaval,FACULTATIVO,Ponto Facultativo nas repartições públicas,,
04/03/2019,Véspera de Carnaval,FACULTATIVO,Ponto facultativo,,
05/03/2019,Carnaval,FACULTATIVO,"Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
05/03/2019,Facultativo,FACULTATIVO,Facultativo,,
05/03/2019,Terça de Carnaval,FACULTATIVO,"Feriado apenas no Comércio, segundo Lei nº 5913, de 21 de junho de 1991",,
06/03/2019,Data Magna de Pernambuco,FACULTATIVO,"Feriado estadual instituído pela Lei nº 16.059/2017 em celebração à Revolução Pernambucana de 1817. A data homenageia o movimento de caráter republicano e separatista que tornou Pernambuco uma república independente da Coroa Portuguesa por 74 dias, sendo um marco na história da luta pela liberdade e democracia no Brasil.",,
06/03/2019,Data Magna de Pernambuco,FACULTATIVO,"Feriado estadual instituído pela Lei nº 16.059/2017 em celebração à Revolução Pernambucana de 1817. A data homenageia o movimento de caráter republicano e separatista que tornou Pernambuco uma república independente da Coroa Portuguesa por 74 dias, sendo um marco na história da luta pela liberdade e democracia no Brasil.",,
06/03/2019,Data Magna de Pernambuco,FACULTATIVO,"Feriado estadual instituído pela Lei nº 16.059/2017 em celebração à Revolução Pernambucana de 1817. A data homenageia o movimento de caráter republicano e separatista que tornou Pernambuco uma república independente da Coroa Portuguesa por 74 dias, sendo um marco na história da luta pela liberdade e democracia no Brasil.",,
19/03/2019,Dia de São José,FACULTATIVO,Padroeiro do Estado do Ceará,CE,
19/03/2019,São José,FACULTATIVO,Dia de São José padroeiro de Mafra,SC,4210100
18/04/2019,Facultativo,FACULTATIVO,Ponto facultativo a partir das 13h00,,
18/04/2019,Quinta-feira Santa,FACULTATIVO,"Ponto facultativo a compensar, a partir de 12:00",,
18/04/2019,Quinta-feira santa,FACULTATIVO,"Quinta-feira santa, ponto facultativo",,
14/06/2019,Ponto facultativo,FACULTATIVO,Ponto facultativo,,
14/06/2019,Pós-feriado,FACULTATIVO,Pós-feriado de Santo Antônio do Boqueirão (a compensar),,
20/06/2019,Corpus Christi,FACULTATIVO,"Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.",,
21/06/2019,Facultativo,FACULTATIVO,Ponto facultativo,,
21/06/2019,Ponto Facultativo,FACULTATIVO,,,
21/06/2019,Pós Corpus Christi,FACULTATIVO,Data após Corpus Christi,,
08/07/2019,Facultativo,FACULTATIVO,Facultativo,,
08/07/2019,Ponto facultativo,FACULTATIVO,,,
26/07/2019,Fundação da Cidade de Goiás,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",GO,5208905
14/10/2019,Facultativo,FACULTATIVO,"ponto facultativo apenas para a educação, antecipando o feriado escolar do dia 15/10 dia do professor",,
15/10/2019,Dia do Professor,FACULTATIVO,"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I, baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""",,
24/10/2019,Pedra fundamental de Goiânia,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",GO,
28/10/2019,Dia do Servidor Público,FACULTATIVO,O dia do servidor público é feriado apenas para funcionários públicos.,,
28/10/2019,Facultativo,FACULTATIVO,Facultativo,,
28/10/2019,Ponto Facultativo Municipal,FACULTATIVO,Dia do Servidor Público - art. 249 da Lei Municipal nº 2.215/1991,,
28/10/2019,Serv. Público,FACULTATIVO,Dia do Servidor Público (ponto facultativo),,
28/10/2019,Servidor Público,FACULTATIVO,Comemoração ao Dia do Servidor Público Municipal,,
28/10/2019,Servidor público,FACULTATIVO,"Ponto facultativo, Dia do Servidor Público",,
20/11/2019,Consciência Negra,FACULTATIVO,Dia da Consciência Negra. Ponto Facultativo de acordo com a Lei Municipal 2484/2008,,
20/11/2019,Dia da Consciência Negra,FACULTATIVO,Lei Municipal Nº 1792/2009,,
24/12/2019,Facultativo,FACULTATIVO,Véspera do Natal,,
24/12/2019,Véspera de Natal,FACULTATIVO,Ponto facultativo a partir de 12:00 (a compensar),,
26/12/2019,Facultativo,FACULTATIVO,Facultativo,,
31/12/2019,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO,De acordo com o Decreto nº 18882-E de 01 de junho de 2015,,
31/12/2019,Facultativo,FACULTATIVO,Facultativo,,
